Customer Name,Customer_Address,Company Name,Claim Reason,Data confidentiality,Claim Amount,Category Premium,Premium Ratio,Claim Request output,BMI,Churn
Joseph Nelson,"380 Gardner Trail Apt. 261,Lindaberg, LA 50829","Dixon, Turner and Smith",Medical,High,1797,14390,0.124878388,No,,
Alexander Ford Jr.,"490 Carlson Throughway,Keithshire, GA 39435","Harper, Sosa and Bell",Travel,Low,402,4794,0.083854819,No,,
Timothy Robinson,"413 Ritter Manors Suite 990,West Allenstad, NC 19211",Byrd Inc,Other,Very low,70,399,0.175438596,No,,
Leah Russell,"46118 Timothy Pass Suite 490,East Brianshire, CO 54826","Robinson, Strickland and Rivera",Travel,Low,865,4794,0.180433876,No,20,Yes
Mark Christensen,"783 Jeremy Circles Suite 968,Christopherberg, LA 64157",Mcguire Ltd,Medical,High,1562,14390,0.108547603,No,20,Yes
Christine Silva,"38576 Lyons Neck Apt. 041,Lake Dennisland, TX 56330",Vincent-Richard,Phone,Medium,242,1875,0.129066667,No,28,No
Courtney Wade,"514 Haley Court Suite 717,North Jennifer, DC 54795",Taylor-Briggs,Travel,Low,814,4794,0.169795578,No,26,No
Christopher Whitney,"9067 West Mill Apt. 451,Martinberg, SC 16743","Chen, Gibson and Richardson",Medical,High,1630,14390,0.113273106,No,26,No
Ashley May,"54948 Kevin Cape Suite 565,New Mitchell, MT 53803",Williams-Barker,Medical,High,1810,14390,0.125781793,No,26,No
Mark Grant,"Unit 0991 Box 2977,DPO AE 09978","Holt, Wright and Thomas",,High,1707,14390,0.118624044,No,19,Yes
Amy Crawford,"552 Welch Creek Suite 334,Leonmouth, IN 94223",Key LLC,Medical,High,1345,14390,0.093467686,No,20,Yes
James Norman,"675 Sarah Parkways,Ashleymouth, WI 64409","Ramirez, Valencia and Walker",Other,Very low,9,399,0.022556391,Yes,18,Yes
Lisa Gray,"4179 Rivas Estates,Deanburgh, CA 98747",Pruitt Group,Medical,High,2048,14390,0.142321056,No,21,Yes
Eric Green,"9753 Ware Glen Suite 775,Amandachester, IN 02872",Castaneda Group,Medical,High,1845,14390,0.128214038,No,18,Yes
Victor Lopez,"3324 Philip Trail,Alejandraborough, NE 35038",Lynch Ltd,Phone,Medium,203,1875,0.108266667,No,21,Yes
Patricia Dean,"71182 Spears Row Suite 002,Port Lorimouth, OK 10036",Gomez Ltd,Medical,High,2054,14390,0.142738013,No,20,Yes
Katie Anderson,"USNV Rose,FPO AP 66627",Singleton Group,Travel,Low,685,4794,0.142886942,No,24,Yes
David White,"282 Benjamin Estate Suite 458,Jessicahaven, WA 62078","Ponce, Turner and Hicks",Medical,High,1590,14390,0.110493398,No,26,No
Steven Briggs,"65718 Robert Hills,East Suzanne, AR 12089",White PLC,Other,Very low,39,399,0.097744361,No,25,No
Ethan Black,"97524 Frank Radial Suite 588,New Patricia, FL 30186",Simon-Mack,Medical,High,1786,14390,0.124113968,No,20,Yes
Sandra Decker,"185 Kristin Plains Suite 663,Lake Daniel, KS 42099",Munoz-Fisher,Medical,High,1653,14390,0.114871438,No,22,Yes
Jonathan Nolan,"8175 Samuel Avenue Suite 917,Scottfurt, AK 14357",Ramirez-Mcclain,Medical,High,1458,14390,0.101320361,No,24,Yes
Wesley Carroll,"2247 Kayla Terrace Suite 884,Heathertown, WV 77573",Clark LLC,Medical,High,1599,14390,0.111118833,No,28,No
Sandy Bell,"35723 Stephanie Knolls Suite 302,North Brian, PA 34809","Ayala, Sanders and Schneider",Other,Very low,24,399,0.060150376,No,25,No
John Friedman,"40556 Rodriguez Route,Heatherhaven, CO 08593",Lopez-Williams,Medical,High,2051,14390,0.142529534,No,20,Yes
Leroy Scott,"486 Hoffman Motorway Apt. 591,East Georgefort, MD 79811",Brown and Sons,Medical,High,1903,14390,0.132244614,No,20,Yes
Glenn Key,"0152 Smith Isle,South Markville, TN 44895","Strickland, Charles and Rodriguez",Medical,High,1876,14390,0.130368311,No,27,No
Emily Brown,"80055 Sharon Highway,South Christopher, IA 01997",Guerrero Inc,Medical,High,1402,14390,0.09742877,No,26,No
Richard Hall,"048 Wood Plains Suite 762,Youngport, WA 85943",Castro-Smith,Medical,High,1600,14390,0.111188325,No,23,Yes
Sharon Bowers,"71162 Garcia Curve,Dennistown, UT 13817","Adams, Houston and Boone",Medical,High,1672,14390,0.1161918,No,25,No
Robin Roberts,"7353 Lambert Lock Apt. 503,East Emilychester, MN 75511",Snyder LLC,Other,Very low,50,399,0.125313283,No,18,Yes
Anthony Rogers,"3909 John Unions Suite 987,North Christina, CO 46805",Doyle-Powell,Medical,High,1987,14390,0.138082001,No,18,Yes
Sean Grant,"33256 Gregory Trace Apt. 999,Catherineport, NV 66311","Ruiz, Hansen and Lynn",Medical,High,1590,14390,0.110493398,No,27,No
Jessica Zimmerman,"99184 Martinez Roads,West Alanport, WA 43445","Hughes, Torres and Brown",Phone,Medium,203,1875,0.108266667,No,25,No
Eugene Vaughan,"784 Donald Burgs,Andersonhaven, AL 16996",Hodge PLC,Phone,,226,1875,0.120533333,No,27,No
Donna Long,"USNS Reynolds,FPO AP 56434","Bailey, Bautista and Hartman",Travel,,875,4794,0.182519816,No,27,No
Jessica Love,"Unit 2641 Box 0241,DPO AE 30480",Mclaughlin PLC,,Very low,68,399,0.170426065,No,23,Yes
Sabrina Bailey,"6111 Andrew Ports Apt. 976,East Fredstad, IL 17808","Trevino, Miller and Jones",Medical,High,1867,14390,0.129742877,No,20,Yes
Cindy Campos,"08327 Tiffany Mount,Bensontown, WY 06584",Smith PLC,Medical,High,2011,14390,0.139749826,No,19,Yes
Judy Henderson,"86701 Crawford Locks,Jonathantown, NE 12749",Galvan Inc,Medical,High,1519,14390,0.105559416,No,28,No
Sean Chavez,"64760 Martinez Squares Suite 698,Rosalesbury, OR 78733",Krueger Ltd,Phone,Medium,265,1875,0.141333333,No,28,No
Sierra Dunlap,"71742 Olivia Pine,Bethton, KY 67985",Buchanan-Tate,Medical,High,2270,14390,0.157748436,No,24,Yes
Shawn Scott,"Unit 7525 Box 0733,DPO AA 76181",Kelly LLC,Phone,Medium,224,1875,0.119466667,No,19,Yes
Laura Love,"64613 Jennifer Knoll Suite 926,East Anthonychester, WI 33006",May Ltd,Phone,Medium,227,1875,0.121066667,No,28,No
Ann Dalton,"USNS Harris,FPO AA 22565","Lara, Marshall and Barnes",Phone,Medium,219,1875,0.1168,No,18,Yes
Robert Cole,"240 Shepard Islands,East Joann, IL 33305",Zimmerman-Obrien,Phone,Medium,200,1875,0.106666667,No,25,No
Timothy Ramirez,"66751 Bryan Corner Suite 551,South Sandra, CO 54250",Elliott Ltd,Phone,Medium,239,1875,0.127466667,No,20,Yes
David Morales,"USNV Castro,FPO AP 85409",,Medical,High,1416,14390,0.098401668,No,23,Yes
Jesus Myers,"75247 Banks Brooks Suite 420,South David, AK 40181",,Travel,Low,525,4794,0.10951189,No,23,Yes
Heather Edwards,"030 Bowen Street,Joshuaborough, TX 49558",,Travel,Low,479,4794,0.099916562,No,21,Yes
Matthew Sanders,"48859 Cory Green,Kramermouth, CA 75912",,Medical,High,1614,14390,0.112161223,No,20,Yes
Vanessa Vasquez,"100 Golden Ramp Apt. 175,Lake Todd, ME 57423",,Medical,High,1445,14390,0.100416956,No,19,Yes
Robert Santos,"071 Castillo Motorway,Tamarafurt, CA 22165",,Medical,High,1526,14390,0.106045865,No,19,Yes
Ashley Brown,"PSC 7790, Box 6186,APO AA 79428",,Other,Very low,48,399,0.120300752,No,24,Yes
Janet Frazier,"3680 Espinoza Ports,Bonillatown, MS 04093",Peters Ltd,Medical,High,1636,14390,0.113690063,No,28,No
Matthew Brown,"69706 Walker Parkway,Alexandraborough, MD 55434","Cohen, Benton and Aguilar",Other,Very low,52,399,0.130325815,No,27,No
Lisa Schmidt,"515 Heather Trafficway,West Nancy, AK 61570",Bartlett-Novak,Other,Very low,18,399,0.045112782,Yes,24,Yes
Taylor Ochoa,"1270 Jason Mission,Robertside, CO 10112",Mcgee-Campbell,Other,Very low,14,399,0.035087719,Yes,24,Yes
Christina Mcdowell,"717 Logan Inlet Apt. 768,East Melissa, MO 88168",Soto-Valentine,Other,Very low,24,399,0.060150376,No,22,Yes
George Brown,"Unit 2664 Box 7032,DPO AE 22009",Harris Ltd,Medical,High,1493,14390,0.103752606,No,26,No
Leslie Baldwin,"805 Allen Neck,Angelaberg, DC 51858","Anthony, Goodman and Maynard",Other,,44,399,0.110275689,No,28,No
Ryan Jackson,"7157 Howard Knoll Suite 443,North Jamesmouth, DC 15038",Moore-Little,Other,Very low,83,399,0.20802005,No,26,No
Christina Moore,"205 Lewis Bypass Apt. 031,West Tonyville, SD 41368",Murphy-Hamilton,Other,Very low,7,399,0.01754386,Yes,25,No
Charles Joyce,"64106 Bailey Crescent,East Janice, WA 86569",Williams LLC,Medical,High,1566,14390,0.108825573,No,18,Yes
Michael Baxter,"42231 Patrick Stravenue Suite 175,East Josephside, OK 56221","Hudson, Simpson and Lloyd",Phone,Medium,226,1875,0.120533333,No,22,Yes
Justin Weaver,"97870 Ricky Lake Apt. 515,South Daniel, AR 91247","English, Ryan and Johnson",Medical,High,1373,14390,0.095413482,No,21,Yes
Wendy Zavala,,Mccoy-Williams,Travel,Low,784,4794,0.163537756,No,21,Yes
Christopher Quinn,,Hanson-Warren,Medical,High,1459,14390,0.101389854,No,27,No
Susan Davis,,Smith Inc,Medical,High,2020,14390,0.140375261,No,18,Yes
Tristan Jackson,,Fisher-Waters,Phone,Medium,257,1875,0.137066667,No,19,Yes
Denise Swanson,,"Thompson, Delgado and Shepherd",Medical,High,2192,14390,0.152328006,No,20,Yes
Jennifer Carr,,"Robinson, Kerr and Duran",Phone,Medium,200,1875,0.106666667,No,18,Yes
Derrick Burke,,Hayden and Sons,Travel,Low,573,4794,0.119524406,No,18,Yes
Ashley Moreno,,Wood Group,Phone,Medium,244,1875,0.130133333,No,21,Yes
Matthew Brown,,Johnson-Schroeder,Medical,High,2057,14390,0.142946491,No,28,No
Kayla Werner,,Adams-Gamble,Medical,High,1695,14390,0.117790132,No,18,Yes
David Bell,,Rodriguez Ltd,Travel,Low,482,4794,0.100542345,No,27,No
Taylor Garcia,,"Wang, Horne and Jennings",Phone,Medium,257,1875,0.137066667,No,23,Yes
Michael Flynn,,Griffin Ltd,Medical,High,1351,14390,0.093884642,No,22,Yes
Valerie Hester,,"Mckenzie, Casey and Moore",Travel,Low,758,4794,0.15811431,No,19,Yes
John Valdez,,"Freeman, Porter and Johnson",Medical,High,1416,14390,0.098401668,No,21,Yes
Mario Hernandez,,Davila-Berg,Phone,Medium,247,1875,0.131733333,No,19,Yes
Christina Holloway,,Cruz-Chavez,Travel,Low,608,4794,0.126825198,No,19,Yes
Steven Kennedy,,"Flores, Turner and Davis",Phone,Medium,206,1875,0.109866667,No,24,Yes
Sarah Taylor,,Graves-Simpson,Phone,,264,1875,0.1408,No,21,Yes
Allison Gilmore,,"Lee, Massey and Schroeder",,High,2006,14390,0.139402363,No,28,No
Joanne Mcbride,,"Vazquez, Preston and Lucas",Medical,High,1661,14390,0.11542738,No,21,Yes
Roger Campbell,,"Hunt, King and Johnson",Medical,High,1820,14390,0.12647672,No,19,Yes
Christopher Mcknight,,"Bell, Simmons and Nolan",Other,Very low,15,399,0.037593985,Yes,27,No
Jeffrey Martinez,,Boone PLC,Medical,High,1495,14390,0.103891591,No,24,Yes
Lisa Daniels,,Alvarez Group,Medical,High,2080,14390,0.144544823,No,21,Yes
Sandra Mcdaniel,,"Thompson, Becker and Green",Phone,Medium,202,1875,0.107733333,No,19,Yes
Casey Mclean,"954 Kennedy Mountains,Jonathanside, UT 27943","Rogers, Stewart and Carter",Medical,High,1545,14390,0.107366227,No,19,Yes
Christopher Coleman,"78796 Zimmerman Mount Suite 939,West Timothy, DC 94426",Smith Ltd,Medical,High,1319,14390,0.091660876,No,19,Yes
Andrew Mcdonald,"472 Newton Avenue Apt. 913,Theodoreville, NM 91040",Curtis-Olson,Medical,High,1559,14390,0.108339124,No,23,Yes
,"USNS Hall,FPO AE 23140","Sanders, Mata and Dickson",Travel,Low,621,4794,0.129536921,No,25,No
,"23316 Nicholas Roads,Quinnberg, MD 41831",Bernard Ltd,Phone,Medium,254,1875,0.135466667,No,25,No
,"54820 James Flats Apt. 214,New Gregborough, WY 66617",Moon Group,Medical,High,2089,14390,0.145170257,No,18,Yes
,"831 Williams Station,Joannehaven, NC 55572",Myers Group,Medical,High,1650,14390,0.11466296,No,22,Yes
,,Allen-Lewis,Travel,Low,458,4794,0.095536087,No,23,Yes
,,Garza-Williams,Travel,Low,428,4794,0.089278264,No,25,No
,,Howe-Hensley,Medical,High,2099,14390,0.145865184,No,27,No
,,"Petersen, Harmon and Strickland",Medical,High,1367,14390,0.094996525,No,27,No
,,"Jackson, Henry and Flores",Medical,High,2292,14390,0.159277276,No,28,No
,,Singleton-Bailey,Medical,High,1637,14390,0.113759555,No,19,Yes
,,Hernandez-Payne,Other,Very low,39,399,0.097744361,No,24,Yes
,,Wilson-Benjamin,Phone,Medium,229,1875,0.122133333,No,25,No
,,King and Sons,Other,Very low,65,399,0.162907268,No,27,No
,,"Johnson, Maddox and Craig",Travel,,547,4794,0.11410096,No,26,No
,,King-Walker,Other,Very low,85,399,0.213032581,No,24,Yes
,,"Flores, Weaver and Reilly",Medical,High,1913,14390,0.132939541,No,28,No
,,Sullivan-James,Medical,High,2111,14390,0.146699097,No,18,Yes
,,Brown-Rodriguez,,High,1464,14390,0.101737318,No,18,Yes
,,Lara-Walker,Medical,,2162,14390,0.150243224,No,21,Yes
,,Davidson-Smith,Phone,Medium,226,1875,0.120533333,No,18,Yes
,,Novak Inc,Phone,Medium,205,1875,0.109333333,No,24,Yes
,,Lambert-Fischer,Other,Very low,29,399,0.072681704,No,20,Yes
,,"Francis, Palmer and Payne",Medical,High,2018,14390,0.140236275,No,21,Yes
,,Caldwell LLC,Medical,High,2221,14390,0.154343294,No,19,Yes
,,Harrell-Phillips,Medical,High,2023,14390,0.140583739,No,21,Yes
,,Morales-Lee,Travel,Low,379,4794,0.079057155,No,23,Yes
,,"Valencia, Wilson and Pierce",Medical,High,2076,14390,0.144266852,No,19,Yes
,,Abbott Ltd,Phone,Medium,263,1875,0.140266667,No,27,No
,,"Briggs, Young and Green",Medical,High,1971,14390,0.136970118,No,18,Yes
,,"Martinez, Ayers and Melton",Phone,Medium,224,1875,0.119466667,No,23,Yes
,,Nguyen LLC,Phone,Medium,236,1875,0.125866667,No,21,Yes
,,Hernandez-Arnold,Travel,Low,490,4794,0.102211097,No,26,No
,,"Turner, Murphy and Figueroa",Phone,Medium,228,1875,0.1216,No,25,No
,,Farrell Group,Medical,High,2206,14390,0.153300903,No,22,Yes
,,Navarro Ltd,Medical,High,1313,14390,0.091243919,No,28,No
,,Henderson-Perry,Other,Very low,18,399,0.045112782,Yes,21,Yes
,,Whitney Inc,Travel,Low,623,4794,0.129954109,No,25,No
,,Jones PLC,Phone,,268,1875,0.142933333,No,26,No
,,Butler PLC,Other,Very low,29,399,0.072681704,No,19,Yes
,,"Taylor, Woods and Dunn",Medical,High,1461,14390,0.101528839,No,22,Yes
,,Smith-Stevens,Travel,Low,873,4794,0.182102628,No,24,Yes
,,Hansen-Hart,Medical,High,2201,14390,0.15295344,No,20,Yes
,,Hughes-Rush,Travel,Low,398,4794,0.083020442,No,23,Yes
,,Jones Group,Other,Very low,80,399,0.200501253,No,19,Yes
,,"Garrison, Evans and Alvarez",Medical,High,1694,14390,0.117720639,No,23,Yes
,,"Russell, Rich and Rivera",Medical,High,1765,14390,0.122654621,No,24,Yes
,,Douglas-Davidson,Medical,High,1871,14390,0.130020848,No,22,Yes
,,Johnson PLC,Other,Very low,84,399,0.210526316,No,26,No
,,Little-May,Medical,High,1705,14390,0.118485059,No,26,No
,,Hansen-Whitehead,Travel,Low,587,4794,0.122444723,No,20,Yes
,,Ortega-Boyd,Medical,High,2089,14390,0.145170257,No,26,No
,,Rivers Group,Medical,High,1774,14390,0.123280056,No,21,Yes
,,Burns-Torres,Phone,Medium,208,1875,0.110933333,No,24,Yes
,,Hill Group,Other,Very low,31,399,0.077694236,No,19,Yes
,,Cain-Zhang,Medical,High,1444,14390,0.100347464,No,22,Yes
,,"Johnson, Harris and Parker",Phone,Medium,254,1875,0.135466667,No,28,No
,,"Evans, Rogers and Freeman",Medical,High,2252,14390,0.156497568,No,25,No
,,"Mayo, Hamilton and Booth",Medical,High,2284,14390,0.158721334,No,25,No
,,Avery-Rubio,Medical,High,2119,14390,0.147255038,No,20,Yes
,,Williams-Kennedy,Medical,High,1724,14390,0.11980542,No,26,No
,,Cline-Cooper,Medical,High,1414,14390,0.098262682,No,22,Yes
,,"Grant, Davis and Burns",Travel,,592,4794,0.123487693,No,19,Yes
,,Bautista Ltd,Other,Very low,2,399,0.005012531,Yes,24,Yes
,,"Williams, Jacobson and Thompson",Other,Very low,50,399,0.125313283,No,23,Yes
,,"Bell, Baker and Bridges",Travel,Low,892,4794,0.186065916,No,19,Yes
,,"Matthews, Martin and White",Medical,High,1989,14390,0.138220987,No,24,Yes
,,Haynes-Duran,Medical,High,1789,14390,0.124322446,No,18,Yes
,,Hicks and Sons,Medical,High,1361,14390,0.094579569,No,23,Yes
,,Gilbert Group,Medical,High,1943,14390,0.135024322,No,21,Yes
,,"Gallegos, Hoffman and Fitzgerald",Other,Very low,77,399,0.192982456,No,25,No
,,"Fry, Boyd and Smith",Medical,High,1483,14390,0.103057679,No,18,Yes
,,Simmons-Weber,,Low,650,4794,0.135586149,No,21,Yes
,,Washington-Williamson,Phone,,250,1875,0.133333333,No,23,Yes
,,Thomas PLC,Travel,Low,549,4794,0.114518148,No,23,Yes
,,Stanley LLC,Medical,High,1348,14390,0.093676164,No,18,Yes
,,"Rodriguez, Peterson and Banks",Other,Very low,35,399,0.087719298,No,26,No
,,"Rowe, Perry and Kim",Medical,High,2013,14390,0.139888812,No,26,No
,,"Hoffman, Kelly and Fitzgerald",Medical,High,1474,14390,0.102432245,No,23,Yes
,,Williamson-Oconnell,Travel,Low,736,4794,0.15352524,No,27,No
,,Morgan LLC,Medical,High,1412,14390,0.098123697,No,20,Yes
,,Weaver-Smith,Medical,High,1754,14390,0.121890202,No,18,Yes
,,Ho and Sons,Phone,Medium,235,1875,0.125333333,No,21,Yes
,,"David, Douglas and Cox",Travel,Low,883,4794,0.184188569,No,24,Yes
,,Martin-Byrd,Travel,Low,420,4794,0.087609512,No,27,No
,,Mclean Group,Phone,Medium,234,1875,0.1248,No,19,Yes
,,"Johnston, Garcia and Golden",Phone,,264,1875,0.1408,No,18,Yes
,,Figueroa Inc,Medical,High,1921,14390,0.133495483,No,20,Yes
,,Phillips-Sheppard,Medical,High,1772,14390,0.12314107,No,21,Yes
,,"Wright, Sims and Schmidt",Medical,High,1388,14390,0.096455872,No,28,No
,,Graham-Rivera,Medical,High,1529,14390,0.106254343,No,23,Yes
,,"Ramirez, West and Smith",Phone,Medium,235,1875,0.125333333,No,23,Yes
,,Tucker-Perkins,Medical,High,1827,14390,0.126963169,No,22,Yes
,,Alvarez LLC,Phone,Medium,233,1875,0.124266667,No,27,No
,,"Cook, Brown and Johnson",Medical,High,2173,14390,0.151007644,No,18,Yes
,,"Walter, Gross and Wheeler",Phone,Medium,253,1875,0.134933333,No,24,Yes
,,Evans-Hernandez,Medical,High,,14390,0.138707436,No,22,Yes
,,Alvarez Ltd,Medical,High,,14390,0.136483669,No,18,Yes
,,"Bryant, Clark and Hurley",Medical,High,,14390,0.133287005,No,28,No
,,Martin PLC,Medical,High,,14390,0.135858235,No,26,No
,,Greene PLC,Medical,High,,14390,0.093120222,No,23,Yes
,,Nguyen Ltd,Medical,High,,14390,0.132592078,No,24,Yes
,,Alvarez-Branch,Other,Very low,14,399,0.035087719,Yes,28,No
,,Garcia PLC,Medical,High,2076,14390,0.144266852,No,23,Yes
,,"Cowan, Allen and Nguyen",Travel,Low,739,4794,0.154151022,No,25,No
,,"Herman, Maldonado and Mckee",Medical,High,2298,14390,0.159694232,No,21,Yes
,,"Garcia, Santiago and Saunders",Medical,High,1496,14390,0.103961084,No,20,Yes
,,Brown Group,Other,Very low,54,399,0.135338346,No,19,Yes
,,Roman PLC,Other,Very low,93,399,0.233082707,No,18,Yes
,,"Pacheco, Brown and Reyes",Phone,Medium,204,1875,0.1088,No,26,No
,,"Frank, Bell and Coleman",Travel,,437,4794,0.091155611,No,19,Yes
,,"Rodriguez, Robinson and Bailey",Other,Very low,38,399,0.095238095,No,18,Yes
,,"Hebert, Gill and Quinn",Medical,High,2031,14390,0.14113968,No,28,No
,,Mckay LLC,Phone,Medium,265,1875,0.141333333,No,26,No
,,Garcia-Olson,Travel,Low,673,4794,0.140383813,No,18,Yes
,,Williams and Sons,Phone,Medium,216,1875,0.1152,No,19,Yes
,,"Lee, Castillo and Bradley",Medical,High,1798,14390,0.12494788,No,23,Yes
,,Hawkins Inc,,High,2048,14390,0.142321056,No,23,Yes
,,"Jimenez, James and Carr",Medical,High,1940,14390,0.134815844,No,21,Yes
,,"Landry, Chung and Alexander",Medical,High,2231,14390,0.155038221,No,20,Yes
,,Lopez-Chang,Medical,High,1996,14390,0.138707436,No,18,Yes
,,Johnson-Logan,Travel,Low,398,4794,0.083020442,No,18,Yes
,,Stanley-Knapp,Phone,Medium,244,1875,0.130133333,No,19,Yes
,,Villegas-Orr,Other,Very low,22,399,0.055137845,Yes,27,No
,,"Romero, Dominguez and Lopez",Medical,High,1735,14390,0.12056984,No,27,No
,,Adams-Boyd,Medical,High,1940,14390,0.134815844,No,21,Yes
,,Webster Inc,Travel,Low,342,4794,0.071339174,No,22,Yes
,,Smith Ltd,Other,Very low,47,399,0.117794486,No,19,Yes
,,Roberson LLC,Travel,Low,639,4794,0.133291615,No,26,No
,,"Scott, West and Martinez",Phone,Medium,235,1875,0.125333333,No,21,Yes
,,Gray-Miller,Medical,High,1875,14390,0.130298819,No,27,No
,,Medina-Scott,Medical,High,1850,14390,0.128561501,No,26,No
,,Robinson-Jones,Other,Very low,79,399,0.197994987,No,19,Yes
,,"Johnson, Guerrero and Brown",Medical,High,2299,14390,0.159763725,No,23,Yes
,,Leach and Sons,Other,Very low,51,399,0.127819549,No,23,Yes
,,Carr Group,Medical,High,2087,14390,0.145031272,No,26,No
,,Abbott-Mclean,Medical,High,1702,14390,0.118276581,No,28,No
,,Miller Ltd,Travel,Low,471,4794,0.09824781,No,18,Yes
,,Robbins LLC,Medical,High,2113,14390,0.146838082,No,22,Yes
,,"Ferguson, Henderson and Clark",Medical,High,2050,14390,0.142460042,No,25,No
,,Williams-Payne,Medical,,2274,14390,0.158026407,No,28,No
,,Li PLC,Travel,Low,340,4794,0.070921986,No,24,Yes
,,"Stout, Koch and West",Medical,High,1846,14390,0.12828353,No,21,Yes
,,Martinez PLC,Phone,Medium,255,1875,0.136,No,27,No
,,Allen-Smith,Travel,Low,712,4794,0.148518982,No,20,Yes
,,"Carpenter, Carr and Brown",Phone,Medium,204,1875,0.1088,No,23,Yes
,,"Porter, Norton and Meyer",Phone,Medium,236,1875,0.125866667,No,22,Yes
,,Ruiz-Smith,Medical,High,1478,14390,0.102710215,No,18,Yes
,,"Wilson, Garcia and Cross",Other,Very low,26,399,0.065162907,No,18,Yes
,,Ramirez PLC,Phone,Medium,236,1875,0.125866667,No,19,Yes
,,Adams and Sons,Medical,High,2003,14390,0.139193885,No,24,Yes
,,Sanchez Group,Phone,Medium,251,1875,0.133866667,No,24,Yes
,,Stewart PLC,Medical,High,1635,14390,0.11362057,No,22,Yes
,,Fleming Ltd,Other,Very low,70,399,0.175438596,No,24,Yes
,,Wilson Inc,Phone,Medium,218,1875,0.116266667,No,20,Yes
,,"Mcfarland, Kim and Holland",Medical,High,1980,14390,0.137595552,No,28,No
,,Lopez-Sanchez,Travel,Low,881,4794,0.183771381,No,22,Yes
,,Rodriguez Group,Travel,Low,692,4794,0.144347101,No,21,Yes
,,Chung-Silva,Medical,High,1479,14390,0.102779708,No,19,Yes
,,Mueller PLC,Phone,Medium,241,1875,0.128533333,No,18,Yes
,,"Odonnell, Pittman and James",Medical,High,2222,14390,0.154412787,No,18,Yes
,,Martin-Ponce,Travel,Low,438,4794,0.091364205,No,18,Yes
,,"Smith, Miller and Hopkins",Travel,Low,799,4794,0.166666667,No,21,Yes
,,"Clark, Shields and Smith",Medical,High,1558,14390,0.108269632,No,23,Yes
,"Unit 7952 Box 9054,DPO AE 44659","Frederick, Rasmussen and Duran",Medical,High,2026,14390,0.140792217,No,28,No
,"949 Knox Avenue,Rubioview, SD 27408",Delacruz and Sons,Travel,Low,506,4794,0.105548602,No,26,No
Darren Brooks,"830 Nunez Light,East Tracy, IL 39691",Haas-Brown,Medical,High,1724,14390,0.11980542,No,18,Yes
Amanda Winters,"61071 Crystal Pines,North Dianaburgh, OH 12050","Santos, Tucker and Larson",Medical,High,2278,14390,0.158304378,No,28,No
Theresa Cruz,"979 Moore Pine Suite 189,Patriciastad, RI 61947",Ward and Sons,Medical,High,1809,14390,0.1257123,No,18,Yes
Annette Stout,"22458 Deborah Loop Apt. 551,Atkinsonfurt, IL 40094","Best, Wright and Beard",Medical,High,1872,14390,0.130090341,No,21,Yes
Shannon Hunt,"6009 Patrick Tunnel,Comptonberg, AR 11679","Smith, Ryan and Alvarez",Other,Very low,70,399,0.175438596,No,25,No
Mike Webb,"367 Bennett Parks Apt. 500,Port Johntown, MI 01741",Brown-Chavez,Other,Very low,81,399,0.203007519,No,18,Yes
Donna Diaz,"460 Julie Isle,Jenniferfurt, RI 79005","Flores, Fernandez and Bailey",Medical,High,1814,14390,0.126059764,No,20,Yes
Chad Carter,"5325 Hernandez Harbor Suite 429,Olsonfurt, AR 85505",Campbell-Delacruz,Phone,Medium,263,1875,0.140266667,No,28,No
Sierra Gonzalez,"6956 Bradshaw Roads,Fernandezville, WV 58003",Campbell and Sons,Other,Very low,71,399,0.177944862,No,21,Yes
Christian Cantu,"067 Obrien Vista,North Sandra, NM 47807","Walker, Rhodes and Johnson",Other,Very low,35,399,0.087719298,No,18,Yes
Amber Bennett,"37828 Rebecca Lock,Turnerbury, ID 96627",Tyler PLC,Medical,High,1759,14390,0.122237665,No,18,Yes
Ashley Davis,"190 Orr Stream,South Marcus, DE 36531",Simmons Ltd,Medical,High,1959,14390,0.136136206,No,28,No
Lisa Jacobs,"32549 Rodriguez Fork Apt. 425,Powellborough, IL 09610",Coleman-Brown,Travel,Low,695,4794,0.144972883,No,25,No
Andrew Crawford,"76399 Curry Mills Apt. 480,Lake Andrewshire, CT 08879",Lopez PLC,Travel,Low,438,4794,0.091364205,No,19,Yes
Tami Mcbride,"51127 Shaun Harbors Apt. 515,Kelseystad, CT 23061","Anderson, Smith and Mckenzie",Travel,Low,370,4794,0.077179808,No,18,Yes
Diane Duncan,"USNV Davis,FPO AA 07035",Martinez Group,Medical,High,1317,14390,0.09152189,No,27,No
Samantha Randall,"Unit 9606 Box 3385,DPO AA 72244",Johnson-Neal,Phone,Medium,255,1875,0.136,No,21,Yes
Paul Phillips,"448 Campbell Shore Apt. 565,Tiffanyborough, TX 01409",Miller-Jensen,Medical,High,1487,14390,0.10333565,No,19,Yes
Gerald Carney,"9177 Jose Burg Suite 424,East Melissachester, MN 77452","Roth, Green and Thompson",Medical,High,1921,14390,0.133495483,No,19,Yes
Corey Thomas,"578 Nicholas Meadow Suite 573,Michelleview, VA 95144","Thomas, Jenkins and Jackson",Travel,Low,494,4794,0.103045474,No,18,Yes
Justin Herring,"USS Adkins,FPO AE 19427",Young Inc,Medical,High,2049,14390,0.142390549,No,22,Yes
Michael Brown,"924 Ayala Shoal Suite 076,East Ronaldbury, DE 67506","Nguyen, Green and Anderson",Other,Very low,5,399,0.012531328,Yes,24,Yes
