id,name,fixed acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,sulphates,alcohol,type,Taste,quality
289,Carignan,8.7,0.09,2.5,0.091,49,0.9976,0.86,10.6,Rose,Balanced,7
290,Verdejo,11.6,0.53,3.3,0.105,98,1.001,0.95,9.2,Port,Balanced,5
291,Semillon,8.7,0.09,2.5,0.091,49,0.9976,0.86,10.6,White,Earthy,7
292,Dolcetto,11,0.48,2,0.343,18,0.9979,0.71,10.5,Red,Sour,5
293,Touriga Nacional,10.4,0.23,2.7,0.091,48,0.9994,0.64,10.3,Port,Balanced,6
294,Lambrusco,6.9,0.25,2.4,0.098,16,0.9964,0.6,10.1,Port,Earthy,6
295,Pedro Ximenez,13.3,0.52,3.2,0.094,53,1.0014,0.81,9.5,Rose,Sour,6
296,Monastrell,10.8,0.46,2.5,0.073,27,1.0001,0.64,9.5,Rose,Sweet,5
297,Fiano,10.6,0.37,2.6,0.086,70,0.9981,0.52,9.9,White,Sweet,5
298,Prosecco,7.1,0.06,2,0.083,29,0.99855,0.73,9.6,White,Bitter,5
299,Cava,7.2,0.02,2.3,0.094,31,0.9993,0.8,9.7,Rose,Bitter,5
300,Madeira,6.9,0.06,2.1,0.08,33,0.99845,0.71,9.6,White,Balanced,5
301,Port,7.5,0.06,2.6,0.086,44,0.9965,0.59,10.7,Red,Sweet,6
302,Shiraz,11.1,0.48,1.5,0.068,15,0.9973,0.64,10.1,Rose,Sour,6
303,Glera,8.3,0.12,2.6,0.092,28,0.9994,0.72,10,Rose,Sweet,5
304,Macabeo,7.4,0.12,1.6,0.186,21,0.996,0.54,9.5,White,Balanced,5
305,Moschofilero,8.4,0.6,2.1,0.112,90,0.9973,0.52,9.2,White,Earthy,5
306,Assyrtiko,10.3,0.48,2.5,0.063,25,0.9998,0.59,9.3,Port,Earthy,6
307,Agiorgitiko,7.6,0.32,2.2,0.082,54,0.9966,0.52,9.4,Port,Balanced,5
308,Aglianico,10.3,0.42,2.4,0.213,14,0.9994,0.62,9.5,Rose,Balanced,6
309,Verdelho,10.3,0.44,2.4,0.214,12,0.9994,0.63,9.5,Port,Sweet,6
310,Vermentino,7.4,0.38,1.7,0.062,30,0.9968,0.53,9.5,Rose,Earthy,6
311,Gewurztraminer,10.3,0.48,2.5,0.063,25,0.9998,0.59,9.3,White,Bitter,6
312,Primitivo,7.9,0.24,2,0.072,105,0.996,0.54,9.4,Port,Earthy,6
313,Blaufrankisch,9,0.31,2.8,0.093,98,0.99815,0.63,9.5,Rose,Sour,6
314,Txakolina,8.6,0.3,3,0.076,135,0.9976,0.53,9.4,Red,Earthy,5
315,Kerner,7.4,0.29,2.6,0.087,72,0.99645,0.68,11,Red,Bitter,5
316,Aligote,7.1,0.29,2.5,0.096,53,0.9962,0.65,11,Rose,Earthy,6
317,Baga,9.6,0.23,3.4,0.102,92,0.9996,0.65,10.1,Red,Sweet,5
318,Xinomavro,9.6,0.12,2.9,0.082,74,0.99865,0.64,10.4,Rose,Balanced,6
319,Negroamaro,9.8,0.39,3.2,0.083,59,0.9989,0.71,11.5,White,Earthy,7
320,Falanghina,9.6,0.12,2.9,0.082,74,0.99865,0.64,10.4,Rose,Earthy,6
321,Pecorino,9.8,0.39,3.2,0.083,59,0.9989,0.71,11.5,White,Bitter,7
322,Loureiro,9.3,0.26,3.4,0.09,87,0.99975,0.62,9.7,Rose,Bitter,5
323,Godello,7.8,0.05,2.3,0.079,18,0.99735,0.63,9.3,Port,Earthy,5
324,Trebbiano,10.3,0.42,2.8,0.09,73,0.999,0.7,9.5,Rose,Earthy,6
325,Corvina,10,0.2,11,0.071,50,1.0015,0.69,9.2,Red,Balanced,6
326,Cortese,10,0.2,11,0.071,50,1.0015,0.69,9.2,Port,Sour,6
327,Barolo,11.6,0.66,3.65,0.121,14,0.9978,0.74,11.5,White,Sweet,7
328,Barbaresco,10.3,0.5,4.5,0.107,13,0.998,0.83,11.5,Red,Balanced,5
329,Valpolicella,13.4,0.62,2.6,0.082,21,1.0002,0.67,9.7,Rose,Sour,6
330,Rosso di Montalcino,10.7,0.39,2,0.061,15,0.9981,0.62,9.5,Port,Bitter,5
331,Franciacorta,10.2,0.64,2.9,0.122,41,0.998,0.66,12.5,Port,Sour,6
332,Chianti,10.2,0.64,2.9,0.122,41,0.998,0.66,12.5,Rose,Balanced,6
333,Beaujolais,8,0.28,3.2,0.066,114,0.9973,0.54,9.4,Port,Earthy,6
334,Soave,8.4,0.08,2.1,0.105,44,0.9958,0.52,11,Red,Bitter,5
335,Orvieto,7.9,0.01,2.5,0.078,38,0.9963,0.74,11.7,Rose,Bitter,7
336,Cote-Rotie,11.9,0.53,3.4,0.128,21,0.9992,0.84,12.2,Rose,Balanced,7
337,Chablis,8.9,0.45,1.9,0.052,16,0.9948,0.7,12.5,Port,Balanced,6
338,Pouilly-Fuisse,7.8,0.32,2.8,0.08,58,0.9974,0.64,10.3,Rose,Balanced,5
339,Saint-Emilion,12.4,0.58,3,0.103,99,1.0008,1,11.5,White,Bitter,6
340,Pauillac,12.5,0.54,2.3,0.082,29,0.9997,1.36,9.8,White,Balanced,7
341,Margaux,12.2,0.5,2.4,0.066,21,1,1.18,9.2,Red,Earthy,6
342,Graves,10.6,0.48,2.7,0.065,18,0.9972,0.87,11.3,Red,Balanced,6
343,Pomerol,10.9,0.47,1.8,0.118,14,0.9982,0.75,9.8,White,Sour,6
344,Sauternes,10.9,0.47,1.8,0.118,14,0.9982,0.75,9.8,Rose,Bitter,6
345,Champagne,11.9,0.5,2.6,0.082,32,1.0006,0.78,10.7,Red,Earthy,6
346,Vin Santo,7,0,1.9,0.067,63,0.9979,0.81,9.9,Rose,Earthy,5
347,Eiswein,6.6,0.02,2.7,0.072,34,0.9955,0.89,12.3,White,Earthy,7
348,Tokaji,13.8,0.67,3,0.093,15,0.9986,0.93,12,Red,Bitter,6
349,Chardonnay,9.6,0.31,2.8,0.089,46,0.9979,0.92,10,Port,Sweet,6
350,Cabernet Sauvignon,9.1,0,2.6,0.093,28,0.9994,0.86,9.4,Red,Bitter,6
351,Merlot,10.7,0.22,2.7,0.107,34,1.0004,0.98,9.9,White,Sour,6
352,Pinot Noir,9.1,0,2.6,0.096,26,0.9994,0.83,9.4,Rose,Sweet,6
353,Zinfandel,7.7,0,2.4,0.09,19,0.9974,0.73,9.3,White,Sweet,5
354,Sauvignon Blanc,13.5,0.79,4.8,0.12,77,1.0018,0.77,13,White,Bitter,5
355,Syrah,6.1,0.4,1.4,0.066,165,0.9912,0.59,11.9,Red,Earthy,6
356,Malbec,6.7,0.01,2.4,0.078,32,0.9955,0.61,12.8,Red,Bitter,6
357,Riesling,11.5,0.52,3,0.08,55,1.0001,0.88,11,Port,Sweet,5
358,Grenache,10.5,0.66,2.95,0.116,29,0.997,0.75,11.7,Red,Earthy,7
359,Sangiovese,11.9,0.66,3.1,0.109,23,1,0.85,10.4,Port,Earthy,7
360,Tempranillo,12.6,0.66,2.6,0.088,41,1.001,0.68,9.8,Rose,Sour,6
361,Moscato,8.2,0.23,2,0.099,81,0.9973,0.7,9.4,Red,Earthy,5
362,Chenin Blanc,8.6,0.31,2.6,0.086,,0.9982,0.91,9.9,Port,Earthy,6
363,Pinot Grigio,11.9,0.66,2.5,0.072,37,0.9992,0.56,10,White,Earthy,5
364,Viognier,12.5,0.63,2,0.071,15,0.9988,0.87,10.2,White,Sweet,5
365,Nebbiolo,12.8,0.66,5.8,0.083,42,1.0022,0.73,10,Red,Sweet,7
366,Barbera,10,0.5,3.4,0.107,21,0.9979,0.93,11.8,Rose,Sour,6
367,Gamay,12.8,0.66,5.8,0.083,42,1.0022,0.73,10,White,Sour,7
368,Torrontes,10.4,0.61,2.6,0.076,24,1,0.69,9,Red,Earthy,5
369,Gruner Veltliner,10.3,0.52,2.8,0.159,75,0.9998,0.64,9.4,Port,Balanced,5
370,Albarino,9.4,0.53,2.4,0.074,18,0.9962,1.13,12,Red,Balanced,7
371,Carmenere,6.9,0.02,2.3,0.063,63,0.9975,0.78,9.9,Rose,Sweet,5
372,Petit Verdot,7.9,0.4,1.6,0.056,25,0.9967,0.87,8.7,Rose,Balanced,6
373,Marsanne,9.1,0.48,1.8,0.067,46,0.9967,1.04,10.6,White,Balanced,6
374,Roussanne,7.4,0.22,2.2,0.106,72,0.9959,0.63,9.2,White,Earthy,5
375,Tannat,14,0.63,3.8,0.089,47,1.0014,0.81,10.8,Port,Bitter,6
376,Carignan,11.5,0.71,4.4,0.124,15,0.9984,0.83,11.8,Red,Balanced,7
377,Verdejo,11.5,0.5,3,0.078,47,1.0003,1.11,11,Port,Sour,6
378,Semillon,9.4,0.53,2.4,0.074,18,0.9962,1.13,12,Port,Balanced,7
379,Dolcetto,11.4,0.66,6.2,0.088,24,0.9988,0.99,13.3,Port,Sweet,6
380,Touriga Nacional,8.3,0.38,2.5,0.094,60,0.9979,0.7,10.8,Red,Bitter,6
381,Lambrusco,8.3,0.42,2,0.08,27,0.9974,0.8,9.4,Red,Bitter,6
382,Pedro Ximenez,13.7,0.68,2.9,0.085,43,1.0014,0.8,10,Red,Balanced,6
383,Monastrell,8.3,0.42,2,0.08,27,0.9974,0.8,9.4,White,Sweet,6
384,Fiano,8.3,0.42,2,0.08,27,0.9974,0.8,9.4,Rose,Bitter,6
385,Prosecco,7.7,0.28,2.1,0.087,54,0.998,0.74,9.2,Rose,Sour,5
386,Cava,7.4,0.07,2.4,0.09,37,0.9979,0.76,9.7,Red,Bitter,6
387,Madeira,7.8,0.26,2,0.088,48,0.9981,0.74,9.2,White,Sour,6
388,Port,8.3,0.15,1.9,0.079,42,0.9972,0.54,9.6,White,Sour,6
389,Shiraz,7.8,0.26,1.9,0.088,53,0.9981,0.74,9.2,White,Sour,6
390,Glera,9.6,0.31,2.5,0.096,49,0.9982,0.7,10,Rose,Balanced,7
391,Macabeo,5.6,0.05,1.4,0.045,88,0.9924,0.82,12.9,White,Bitter,8
392,Moschofilero,13.7,0.68,2.9,0.085,43,1.0014,0.8,10,White,Earthy,6
393,Assyrtiko,9.5,0.52,2,0.082,26,0.998,0.51,9.5,Port,Earthy,5
394,Agiorgitiko,8.4,0.61,2,0.112,95,0.997,0.54,9.1,Rose,Earthy,5
395,Aglianico,12.7,0.65,2.3,0.063,25,0.9997,0.57,9.9,Rose,Earthy,5
396,Verdelho,12,0.76,4.2,0.066,38,1.0004,0.6,13,Port,Bitter,7
397,Vermentino,6.6,0.02,7.9,0.122,124,0.9994,0.53,9.9,Port,Bitter,5
398,Gewurztraminer,11.5,0.59,2.6,0.087,49,0.9988,0.65,11,Port,Balanced,6
399,Primitivo,11.5,0.59,2.6,0.087,49,0.9988,0.65,11,Rose,Sour,6
400,Blaufrankisch,8.7,0.22,2.3,0.064,42,0.9963,0.55,9.4,Red,Balanced,5
401,Txakolina,6.6,0.02,7.9,0.122,124,0.9994,0.53,9.9,White,Balanced,5
402,Kerner,7.7,0.3,1.7,0.059,38,0.9949,0.47,10.8,Port,Bitter,6
403,Aligote,12.2,0.54,2.6,0.085,64,1,0.61,10.5,Red,Bitter,6
404,Baga,11.4,0.49,2.7,0.085,41,0.9994,0.63,10.5,White,Bitter,6
405,Xinomavro,7.7,0.05,2.7,0.075,27,0.9974,0.61,9.1,White,Earthy,5
406,Negroamaro,8.7,0.46,1.4,0.059,25,0.9966,0.76,10.1,White,Sweet,6
407,Falanghina,9.8,0.47,2.5,0.063,28,0.9981,0.65,10.8,White,Bitter,6
408,Pecorino,12,0.66,3,0.093,30,0.9996,0.63,10.8,Red,Sweet,7
409,Loureiro,10.4,0.58,3.7,0.174,16,0.997,0.7,11.3,White,Sweet,6
410,Godello,12.5,0.49,4.5,0.07,49,0.9981,0.57,9.6,White,Balanced,4
411,Trebbiano,9,0.34,2.5,0.08,86,0.9987,0.62,9.5,Port,Sour,6
412,Corvina,9.1,0.35,2.4,0.08,78,0.9987,0.62,9.5,White,Bitter,5
413,Cortese,7.1,0.16,1.9,0.1,77,0.9966,0.64,9.3,Red,Sweet,5
414,Barolo,9.9,0.53,6.7,0.097,19,0.9986,0.82,11.7,White,Sour,7
415,Barbaresco,8.8,0.34,2.7,0.087,122,0.9982,0.61,9.5,Red,Sour,5
416,Valpolicella,8.6,0.24,6.6,0.117,134,1.0014,1.07,9.3,Rose,Sweet,5
417,Rosso di Montalcino,10.6,0.64,2.2,0.111,20,0.997,0.66,11.7,Port,Sour,6
418,Franciacorta,7,0.12,1.9,0.091,124,0.9956,0.48,10.5,White,Earthy,5
419,Chianti,11.9,0.51,2,0.121,20,0.9996,0.76,10.4,White,Earthy,6
420,Beaujolais,6.8,0,1.8,0.066,52,0.9976,0.68,9.9,Port,Bitter,5
421,Soave,9.5,0.33,2.4,0.089,67,0.9972,0.73,11.8,White,Bitter,7
422,Orvieto,6.6,0.03,2.3,0.059,48,0.9952,0.56,12.3,Red,Bitter,7
423,Cote-Rotie,7.7,0.2,2,0.047,60,0.9955,0.44,10.9,White,Sweet,5
424,Chablis,10.5,0.47,2.1,0.066,24,0.9978,0.9,11,Red,Balanced,7
425,Pouilly-Fuisse,7.7,0.2,2,0.047,60,0.9955,0.44,10.9,Port,Sweet,5
426,Saint-Emilion,6.6,0.03,2.3,0.059,48,0.9952,0.56,12.3,White,Balanced,7
427,Pauillac,6.4,0.08,2.1,0.045,48,0.9949,0.49,11.4,Port,Sweet,6
428,Margaux,9.5,0.22,1.9,0.077,32,0.9988,0.56,10.6,Red,Earthy,6
429,Graves,9.1,0.33,1.3,0.07,30,0.9978,0.6,9.3,Rose,Balanced,5
430,Pomerol,12.8,0.63,2.4,0.088,35,0.9997,0.6,10.4,Red,Earthy,6
431,Sauternes,10.5,0.47,2.1,0.066,24,0.9978,0.9,11,Rose,Bitter,7
432,Champagne,7.8,0.35,2.2,0.074,66,0.9974,0.56,9.2,Rose,Earthy,5
433,Vin Santo,11.9,0.69,2.3,0.078,24,0.9958,0.65,12.8,Red,Bitter,6
434,Eiswein,12.3,0.63,2.3,0.091,18,1.0004,0.49,9.5,Rose,Sweet,5
435,Tokaji,10.4,0.55,3.2,0.076,54,0.9996,0.89,9.9,Red,Bitter,6
436,Chardonnay,12.3,0.63,2.3,0.091,18,1.0004,0.49,9.5,Red,Earthy,5
437,Cabernet Sauvignon,8,0.3,2,0.06,62,0.9958,0.56,10.2,White,Balanced,6
438,Merlot,11.1,0.73,3.2,0.066,22,0.9986,0.66,11.2,Red,Earthy,6
439,Pinot Noir,10.4,0.55,3.2,0.076,54,0.9996,0.89,9.9,Port,Sour,6
440,Zinfandel,7,0.18,1.5,0.062,50,0.9951,0.6,9.3,Red,Balanced,5
441,Sauvignon Blanc,12.6,0.72,2.2,0.072,29,0.9987,0.82,9.8,Rose,Bitter,8
442,Syrah,11.9,0.65,2.15,0.068,27,0.9988,0.68,11.3,Rose,Sour,6
443,Malbec,15.6,0.76,3.7,0.1,43,1.0032,0.68,11.2,Port,Sour,7
444,Riesling,10,0.49,2.7,0.077,19,0.9963,0.63,11.6,White,Sweet,7
445,Grenache,5.3,0.01,1.7,0.054,27,0.9934,0.84,12.5,White,Bitter,7
446,Sangiovese,9.5,0.1,2.1,0.079,31,0.9986,0.56,10.1,Rose,Earthy,6
447,Tempranillo,12.5,0.6,2.6,0.081,72,0.9996,0.73,10.5,White,Sour,5
448,Moscato,9.3,0.29,2.1,0.127,16,0.9968,0.72,11.2,Port,Sour,5
449,Chenin Blanc,8.6,0.22,2,0.1,27,0.9967,0.56,10.2,Red,Sour,6
450,Pinot Grigio,11.9,0.69,2.8,0.095,35,0.9994,0.61,10.8,Red,Sour,6
451,Viognier,11.9,0.69,2.8,0.095,35,0.9994,0.61,10.8,Rose,Bitter,6
452,Nebbiolo,8.4,0.53,1.8,0.413,26,0.9979,1.06,9.1,Rose,Bitter,6
453,Barbera,6.8,0.03,1.7,0.084,35,0.9968,0.63,10,Red,Sour,6
454,Gamay,10.4,0.63,2.8,0.084,22,0.9998,0.74,11.2,Port,Sweet,7
455,Torrontes,7,0.4,1.6,0.063,67,0.9952,0.63,11.1,Port,Earthy,5
456,Gruner Veltliner,11.3,0.67,5.2,0.086,19,0.9988,0.69,13.4,Rose,Sweet,8
457,Albarino,8.9,0.39,2.3,0.095,22,0.9986,0.58,10.3,Red,Sweet,5
458,Carmenere,9.2,0.21,2.7,0.097,65,0.9988,0.58,9.6,Port,Sweet,5
459,Petit Verdot,10.4,0.63,2.8,0.084,22,0.9998,0.74,11.2,White,Bitter,7
460,Marsanne,11.6,0.66,2.2,0.074,47,1.0008,0.57,9,Red,Earthy,3
461,Roussanne,9.2,0.52,2.3,0.083,23,0.9976,0.61,11.3,White,Earthy,6
462,Tannat,8.3,0.22,2.6,0.087,19,0.9982,0.61,9.3,White,Sour,5
463,Carignan,11,0.68,2.55,0.085,25,0.997,0.61,11.8,Red,Earthy,5
464,Verdejo,8.1,0.7,2.2,0.098,129,0.9972,0.53,9,White,Bitter,5
465,Semillon,11.5,0.54,2.1,0.084,15,0.9987,0.7,9.2,Red,Bitter,6
466,Dolcetto,10,0.4,2.9,0.098,26,1.0006,0.91,9.7,Port,Sweet,5
467,Touriga Nacional,10.3,0.42,2,0.069,51,0.9982,0.72,11.5,Rose,Balanced,6
468,Lambrusco,8.8,0.45,2.6,0.065,18,0.9947,0.79,14,Port,Earthy,6
469,Pedro Ximenez,11.4,0.69,2.1,0.09,21,1,0.62,9.2,White,Balanced,6
470,Monastrell,8.7,0.02,1.2,0.07,48,0.9952,0.58,9.8,Red,Sour,5
471,Fiano,13,0.65,2.6,0.093,47,0.9996,0.61,10.6,White,Sour,5
472,Prosecco,9.6,0.42,2.4,0.081,52,0.997,0.71,11.4,Port,Earthy,6
473,Cava,12.5,0.55,2.6,0.083,68,0.9995,0.82,10.4,Port,Balanced,6
474,Madeira,9.9,0.55,2.1,0.062,14,0.9971,0.79,10.6,Rose,Sour,5
475,Port,10.5,0.51,1.7,0.08,24,0.9982,0.89,9.4,Port,Balanced,6
476,Shiraz,9.6,0.24,2.2,0.087,28,0.9988,0.6,10.2,White,Balanced,5
477,Glera,9.3,0.41,2,0.091,16,0.998,0.7,9.7,Rose,Sweet,5
478,Macabeo,10.4,0.49,1.8,0.075,20,0.9977,1.06,11,White,Balanced,6
479,Moschofilero,9.6,0.24,2.2,0.087,28,0.9988,0.6,10.2,Port,Bitter,5
480,Assyrtiko,9.4,0.11,2.7,0.077,31,0.9984,0.7,10.1,White,Sweet,6
481,Agiorgitiko,10.6,0.39,15.5,0.069,23,1.0026,0.66,9.2,Rose,Sour,5
482,Aglianico,9.4,0.56,2.8,0.08,17,0.9964,0.92,11.7,Red,Sweet,8
483,Verdelho,10.6,0.59,2.2,0.152,18,0.9986,1.05,9.4,Port,Sour,5
484,Vermentino,10.6,0.6,2.2,0.152,18,0.9986,1.06,9.4,White,Sweet,5
485,Gewurztraminer,10.6,0.68,4.1,0.114,24,0.997,0.66,13.4,Rose,Bitter,6
486,Primitivo,10.2,0.39,1.9,0.054,17,0.9976,0.47,10,Rose,Bitter,5
487,Blaufrankisch,10.2,0.39,1.9,0.054,17,0.9976,0.47,10,Red,Sour,5
488,Txakolina,10.2,0.36,1.8,0.053,14,0.9982,0.42,10,White,Bitter,6
489,Kerner,11.6,0.55,2.8,0.081,67,1.0002,0.92,10.8,White,Sour,7
490,Aligote,9.3,0.4,2.6,0.073,26,0.9984,0.75,10.2,Rose,Bitter,6
491,Baga,9.3,0.27,2.8,0.078,56,0.9984,0.67,10.6,Red,Sweet,6
492,Xinomavro,9.2,0.5,2.5,0.055,25,0.9952,0.79,13.3,Port,Earthy,7
493,Negroamaro,8.9,0.51,2.6,0.052,27,0.995,0.9,13.4,Port,Sweet,7
494,Falanghina,8.7,0.31,3,0.086,81,1.0002,0.74,11.6,Rose,Balanced,6
495,Pecorino,6.5,0.23,8.3,0.051,91,0.9952,0.55,12.1,Red,Balanced,6
496,Loureiro,10.7,0.53,2.6,0.07,16,0.9972,0.65,11,Port,Bitter,8
497,Godello,7.8,0.25,1.9,0.081,38,0.9984,0.65,9,Port,Balanced,6
498,Trebbiano,7.2,0.32,2.5,0.09,113,0.9966,0.79,11.1,Red,Earthy,5
499,Corvina,10.7,0.53,2.6,0.07,16,0.9972,0.65,11,Rose,Earthy,8
500,Cortese,8.7,0.31,3,0.086,81,1.0002,0.74,11.6,Rose,Sour,6
501,Barolo,7.8,0.25,1.9,0.081,38,0.9984,0.65,9,Rose,Bitter,6
502,Barbaresco,10.4,0.73,6.55,0.074,76,0.999,0.85,12,Rose,Sweet,7
503,Valpolicella,10.4,0.73,6.55,0.074,76,0.999,0.85,12,Port,Sour,7
504,Rosso di Montalcino,10.5,0.47,1.9,0.078,24,0.9976,1.04,10.9,Red,Bitter,7
505,Franciacorta,10.5,0.42,1.8,0.077,22,0.9976,1.05,10.8,Port,Sour,7
506,Chianti,10.2,0.63,2.9,0.072,26,0.9968,0.78,12.5,Rose,Bitter,7
507,Beaujolais,10.4,0.46,1.8,0.075,21,0.9976,1.02,10.8,Rose,Earthy,7
508,Soave,11.2,0.55,2.3,0.084,13,1,0.71,9.5,White,Earthy,6
509,Orvieto,10,0.31,2.2,0.09,62,0.9994,0.63,10.2,Rose,Sour,6
510,Cote-Rotie,13.3,0.75,2.8,0.084,43,0.9986,0.68,11.4,White,Bitter,7
511,Chablis,12.4,0.49,4.6,0.073,43,0.9978,0.61,9.5,White,Sweet,5
512,Pouilly-Fuisse,10,0.31,2.2,0.09,62,0.9994,0.63,10.2,Rose,Sweet,6
513,Saint-Emilion,10.7,0.48,2.1,0.125,49,0.998,0.81,9.7,Port,Sour,6
514,Pauillac,10.5,0.64,2.4,0.107,15,0.9973,0.66,11.8,Red,Sour,7
515,Margaux,10.5,0.64,2.4,0.107,15,0.9973,0.66,11.8,Red,Sweet,7
516,Graves,8.5,0.49,6.1,0.122,151,1.001,1.14,9.3,Rose,Earthy,5
517,Pomerol,12.5,0.49,4.3,0.1,14,1.001,0.74,11.9,Red,Sour,6
518,Sauternes,10.4,0.49,2.1,0.2,16,0.9994,0.63,8.4,White,Earthy,3
519,Champagne,10.9,0.49,2.8,0.088,32,0.9972,0.68,11.7,,Balanced,6
520,Vin Santo,7.3,0.49,2.5,0.088,106,0.9966,0.78,11,Red,Bitter,5
521,Eiswein,9.8,0.49,2.7,0.088,33,0.9982,0.9,10,White,Balanced,6
522,Tokaji,7.6,0.49,2,0.088,43,0.998,0.64,9.1,White,Bitter,5
523,Chardonnay,8.2,0.49,2.3,0.099,133,0.9979,0.99,9.8,Red,Earthy,5
524,Cabernet Sauvignon,9.3,0.49,2.5,0.085,142,0.9978,0.55,9.4,Rose,Bitter,5
525,Merlot,9.2,0.49,2.4,0.086,116,0.9976,0.64,9.5,Rose,Sweet,5
526,Pinot Noir,10.4,0.24,2.8,0.105,53,0.9998,0.67,9.9,Port,Balanced,5
527,Zinfandel,7.3,0.49,2.5,0.088,106,0.9966,0.78,11,Port,Balanced,5
528,Sauvignon Blanc,7,0.49,2.5,0.097,85,0.9962,0.77,11.4,Red,Sour,6
529,Syrah,8.2,0.49,2.6,0.084,55,0.9988,0.75,8.7,Red,Bitter,6
530,Malbec,9.9,0.24,2.4,0.077,33,0.9974,0.57,9.4,Red,Balanced,5
531,Riesling,9.1,0.24,2.1,0.078,28,0.999,0.87,10.3,Port,Sweet,6
532,Grenache,11.9,0.49,2.7,0.098,42,1.0004,0.61,10.3,Port,Sweet,5
533,Sangiovese,11.9,0.49,2.7,0.098,42,1.0004,0.61,10.3,Port,Balanced,5
534,Tempranillo,10.3,0.24,2.1,0.072,33,0.9956,0.66,12.8,Rose,Bitter,6
535,Moscato,10,0.24,2.7,0.102,32,1,0.56,10,Rose,Balanced,6
536,Chenin Blanc,9.1,0.24,2.1,0.078,28,0.999,0.87,10.3,Port,Sweet,6
537,Pinot Grigio,9.9,0.24,2.4,0.077,33,0.9974,0.57,9.4,Port,Bitter,5
538,Viognier,8.1,0.24,2.1,0.084,13,0.9972,0.77,10.7,White,Sweet,6
539,Nebbiolo,12.9,0.49,5.8,0.066,35,1.0014,0.66,12,Rose,Sweet,7
540,Barbera,11.2,0.74,5.15,0.1,17,0.9996,0.62,11.2,Red,Sweet,5
541,Gamay,9.2,0.24,3.3,0.101,47,0.9988,0.67,9.6,White,Sweet,5
542,Torrontes,9.5,0.49,6.3,0.064,17,0.9988,0.73,11,Red,Sour,6
543,Gruner Veltliner,9.3,0.24,2.1,0.07,20,0.9966,0.59,9.9,Port,Sweet,5
544,Albarino,11.2,0.24,2.5,0.085,53,0.9993,0.72,11,Port,Sour,6
545,Carmenere,14.3,0.74,1.8,0.075,15,1.0008,0.79,8.4,White,Sweet,6
546,Petit Verdot,9.1,0.49,2.6,0.094,106,0.9982,0.59,9.1,Red,Sweet,5
547,Marsanne,7.5,0.24,2,0.078,28,0.9983,0.78,9.5,Port,Sour,6
548,Roussanne,10.6,0.49,2.5,0.067,21,0.9987,0.86,10.7,White,Bitter,6
549,Tannat,12.4,0.49,2.6,0.079,69,0.9994,0.75,10.4,White,Earthy,6
550,Carignan,9,0.49,1.9,0.171,25,0.9975,0.61,9.4,Red,Sweet,6
551,Verdejo,6.8,0.01,2.1,0.074,25,0.9958,0.56,9.5,Port,Sweet,6
552,Semillon,9.4,0.24,2.8,0.092,45,0.998,0.73,10,White,Sour,6
553,Dolcetto,9.5,0.24,2.7,0.092,44,0.998,0.74,10,White,Sour,6
554,Touriga Nacional,5,0.24,1.6,0.05,96,0.9934,0.62,11.5,Red,Sweet,5
555,Lambrusco,15.5,0.49,4.2,0.095,23,1.00315,0.74,11.1,Red,Balanced,5
556,Pedro Ximenez,15.5,0.49,4.2,0.095,23,1.00315,0.74,11.1,White,Sweet,5
557,Monastrell,10.9,0.49,4.6,0.118,17,1.0002,0.56,11.7,Rose,Earthy,6
558,Fiano,15.6,0.49,4.2,0.095,23,1.00315,0.74,11.1,Rose,Sour,5
559,Prosecco,10.9,0.49,4.6,0.118,17,1.0002,0.56,11.7,Red,Earthy,6
560,Cava,13,0.49,4.3,0.085,47,1.0021,0.68,12.7,Port,Sour,6
561,Madeira,12.7,0.49,2.8,0.075,19,0.9994,0.57,11.4,White,Sour,5
562,Port,9,0.49,2.4,0.078,121,0.9978,0.58,9.2,Port,Bitter,5
563,Shiraz,9,0.49,2.9,0.094,110,0.9982,0.61,9.2,White,Balanced,5
564,Glera,7.6,0.49,2.7,0.092,60,0.9971,0.61,10.1,Red,Balanced,6
565,Macabeo,13,0.49,4.3,0.085,47,1.0021,0.68,12.7,Red,Bitter,6
566,Moschofilero,12.7,0.49,2.8,0.075,19,0.9994,0.57,11.4,White,Sweet,5
567,Assyrtiko,8.7,0.24,2.5,0.226,15,0.9991,0.6,9,Red,Balanced,6
568,Agiorgitiko,8.7,0.24,2.5,0.226,15,0.9991,0.6,9,Red,Sour,6
569,Aglianico,9.8,0.49,2.6,0.25,20,0.999,0.79,10.7,Rose,Bitter,6
570,Verdelho,6.2,0.24,2.2,0.095,42,0.9946,0.57,11.7,White,Earthy,6
571,Vermentino,11.5,0.49,3.3,0.07,37,1.0003,0.91,11,Port,Sweet,6
572,Gewurztraminer,6.2,0.24,2.2,0.095,42,0.9946,0.57,11.7,Port,Sweet,6
573,Primitivo,10.2,0.49,2.4,0.075,28,0.9978,0.61,10.4,Port,Balanced,5
574,Blaufrankisch,10.5,0.49,2.1,0.07,47,0.9991,0.56,9.6,Red,Sour,4
575,Txakolina,10.6,0.49,3.2,0.078,78,0.9992,0.7,10,White,Sour,6
576,Kerner,12.3,0.49,3.1,0.079,46,0.9993,0.8,10.2,White,Sour,6
577,Aligote,9.9,0.24,2.3,0.103,14,0.9978,0.52,10,Port,Sour,4
